provider_type,state,total_patients,medical_payment
Nurse Practitioner,NV,23,
Orthopedic Surgery,CA,179,100720.71
Gastroenterology,NH,1178,225480.86
Physician Assistant,MI,214,
Critical Care (Intensivists),OH,607,160459.17
Internal Medicine,CA,180,79392.3
Hematology-Oncology,NC,51,12880.4
"Psychologist, Clinical",IL,12,12494.43
Allergy/ Immunology,IL,24,
Certified Registered Nurse Anesthetist (CRNA),FL,37,4123.91
Emergency Medicine,HI,117,14213.33
Family Practice,IL,65,11214.02
Chiropractic,NJ,39,14206.56
Optometry,IL,36,4283.9
Ophthalmology,CT,313,
Anesthesiology,TN,56,3139.2
Emergency Medicine,CA,332,46945.62
General Surgery,FL,107,58438.23
Physician Assistant,NY,300,
Physician Assistant,RI,200,17980.63
Physical Therapist in Private Practice,MN,35,14251.12
Pulmonary Disease,RI,377,83929.31
Urology,MI,186,45092.53
Family Practice,TX,99,6034.26
Nurse Practitioner,NJ,481,69673.72
Emergency Medicine,NC,242,27229.55
Emergency Medicine,PA,49,
Physical Therapist in Private Practice,CO,111,68387.16
Physician Assistant,MN,143,22230.98
Physical Medicine and Rehabilitation,CA,13,1609.71
Orthopedic Surgery,NC,207,92708.56
Pediatric Medicine,SD,228,24915.74
Nurse Practitioner,SC,49,5466.41
Family Practice,IL,189,28754.25
Nurse Practitioner,PA,27,1359.99
Physician Assistant,GA,120,12597.59
Internal Medicine,NY,280,121028.96
Internal Medicine,MN,331,100264.38
Internal Medicine,MI,393,190681.94
Pathology,OR,304,36397.32
Physical Therapist in Private Practice,NJ,60,36391.4
Nurse Practitioner,IA,38,
Nurse Practitioner,NM,13,209.65
Family Practice,OH,34,12468.62
Family Practice,ID,124,
Physical Therapist in Private Practice,CA,43,19274.18
Allergy/ Immunology,IL,38,5305.66
Podiatry,OH,29,2492.36
Internal Medicine,WA,100,25368.32
Nurse Practitioner,OH,114,10394.81
Physical Therapist in Private Practice,NJ,128,260800.47
Family Practice,MO,31,4978.2
Anesthesiology,WA,94,15557.39
Nurse Practitioner,MO,11,
Physician Assistant,CA,352,53305.19
Neurology,GA,461,134869.05
Chiropractic,NC,11,806.2
Dermatology,AZ,1871,
Podiatry,CO,346,83518.95
Nurse Practitioner,GA,249,16548.31
Internal Medicine,MI,199,59575.38
Nurse Practitioner,NY,108,13660.02
Diagnostic Radiology,IL,3688,149812.48
General Surgery,GA,79,32507.9
Physical Therapist in Private Practice,AZ,68,38920.64
Nurse Practitioner,PA,91,
Diagnostic Radiology,CA,580,54943.54
Physician Assistant,WA,234,22212.34
Nurse Practitioner,FL,94,12927
Physician Assistant,CA,26,2677.13
Family Practice,OH,103,12525.04
Physician Assistant,AL,20,
Family Practice,FL,481,172276.07
Urology,CT,393,266535.4
Nurse Practitioner,NC,40,
Emergency Medicine,CA,229,36993.23
Orthopedic Surgery,NY,334,130855.68
Nurse Practitioner,NY,41,
Nurse Practitioner,KY,157,16148.15
Endocrinology,MI,196,106449.69
Internal Medicine,CA,235,
Family Practice,LA,53,5862.32
Physician Assistant,NC,55,6548.34
Occupational Therapist in Private Practice,MN,24,4146.03
Thoracic Surgery,OK,177,247790.57
Nephrology,NY,370,
Ophthalmology,CA,371,225802.15
Physician Assistant,KY,78,11579.56
Hematology-Oncology,MO,171,31690.03
Family Practice,GA,292,104231.01
Pulmonary Disease,NC,59,
Neurosurgery,MI,69,15953.2
Nurse Practitioner,MA,27,3412.03
General Practice,IL,36,14649.79
Physician Assistant,TX,87,
Emergency Medicine,OH,148,16682.62
Podiatry,NY,423,83587.21
Licensed Clinical Social Worker,CA,54,92488.87
Infectious Disease,MO,380,80669.92
Physical Therapist in Private Practice,CA,13,7673.45
Optometry,CO,204,18001.75
Family Practice,WV,341,45680.28
Licensed Clinical Social Worker,GA,15,19223.27
Certified Nurse Midwife,NM,14,2762.72
Emergency Medicine,TX,233,26383.6
Allergy/ Immunology,IL,112,30352.99
Optometry,OK,426,48243.13
Orthopedic Surgery,OH,425,167842.85
Licensed Clinical Social Worker,AK,16,27138.37
Internal Medicine,MO,36,
General Surgery,NY,64,8933.06
Anesthesiology,GA,34,4119.43
Hematology-Oncology,OR,203,78178.09
Anesthesiology,MT,168,30010.24
Internal Medicine,NY,131,63785.63
Internal Medicine,PA,423,81292.89
Internal Medicine,CT,68,7741.38
General Surgery,SC,144,67620.39
Nephrology,NY,52,11096.01
Certified Registered Nurse Anesthetist (CRNA),NY,166,10744.26
Emergency Medicine,CA,236,32624.75
Nurse Practitioner,KS,437,37244.31
Internal Medicine,MO,88,19028.81
Physical Therapist in Private Practice,ND,60,17094.14
Podiatry,NY,109,26482.43
Emergency Medicine,MN,155,15117.49
Physical Therapist in Private Practice,WI,22,5581.21
General Surgery,CA,177,60724.36
Licensed Clinical Social Worker,OH,55,15375.8
Emergency Medicine,AL,1199,192775.56
Emergency Medicine,CA,168,24427.08
Optometry,TN,85,7502.2
Obstetrics & Gynecology,PA,89,12076.68
Family Practice,KS,114,15484.46
Family Practice,CA,209,26324.15
Emergency Medicine,IN,449,42760.32
Family Practice,WI,87,16541.97
Physician Assistant,ME,27,959.75
Physician Assistant,NY,283,30747.97
Optometry,NE,378,33614.52
Certified Registered Nurse Anesthetist (CRNA),GA,66,7485.56
Licensed Clinical Social Worker,NJ,46,10155.49
Psychiatry,CA,45,18787.84
Nephrology,PA,36,5782.26
Licensed Clinical Social Worker,VA,15,12234.61
Nurse Practitioner,AR,286,26441.91
Neurology,PA,633,120720.04
Emergency Medicine,TX,130,17695.61
Physical Therapist in Private Practice,NJ,36,30330.93
Physician Assistant,IN,125,
Nurse Practitioner,GA,160,
Internal Medicine,CA,189,32928.14
Family Practice,VA,351,75265.71
Physician Assistant,MN,30,2511.37
Nurse Practitioner,PA,64,
Ophthalmology,OR,28,
Nurse Practitioner,CA,42,8116.54
Internal Medicine,VA,422,
Nurse Practitioner,MI,95,15094.26
Psychiatry,AZ,28,12292.42
Internal Medicine,WI,348,39546.74
Audiologist,KY,148,4460.16
"Psychologist, Clinical",TX,21,17932.83
Hospitalist,MO,84,30153.93
Hospitalist,AR,162,32581.84
Hand Surgery,NY,590,183865.62
Nurse Practitioner,IL,48,
Nurse Practitioner,CT,377,132477.59
Diagnostic Radiology,AL,596,40625.31
Podiatry,WI,105,8369.61
Family Practice,MO,154,26828.6
Chiropractic,MD,31,21483.8
Nephrology,MD,170,
Endocrinology,SC,298,37465.11
Neurosurgery,TX,16,10509.61
Internal Medicine,NY,138,33844.19
Physical Therapist in Private Practice,FL,47,28683.13
Family Practice,NC,58,5347.93
Thoracic Surgery,TX,110,88878.26
Internal Medicine,MD,259,166856.92
Dermatology,NY,18,
Nurse Practitioner,NY,106,10262.64
Nurse Practitioner,SC,91,68504.31
Physical Therapist in Private Practice,CA,172,104361.38
Emergency Medicine,NH,313,37781.59
Nurse Practitioner,CA,19,
Emergency Medicine,AK,157,29130.98
Internal Medicine,MA,227,52370.48
Obstetrics & Gynecology,PA,78,6947.83
Family Practice,NY,56,14891.94
Physical Therapist in Private Practice,NH,23,4475.9
Podiatry,PA,353,
Nurse Practitioner,AR,102,23710.91
Diagnostic Radiology,MO,4067,163655.74
Pathology,VT,644,54952.65
Internal Medicine,IL,134,29190.4
Chiropractic,VA,23,29663.67
Optometry,OK,202,11172.03
Emergency Medicine,MI,91,11586.5
Vascular Surgery,NY,86,
Orthopedic Surgery,NV,123,72936.93
Anesthesiology,NC,155,12540.24
Anesthesiology,NJ,71,9601.56
Certified Registered Nurse Anesthetist (CRNA),FL,38,4375.31
Physician Assistant,WI,56,
Anesthesiology,OH,53,8391.67
Physician Assistant,NC,103,9800.4
Nurse Practitioner,NC,96,7295.85
Nurse Practitioner,FL,43,
Internal Medicine,MN,86,8524.39
Audiologist,MD,46,9526.91
Pulmonary Disease,CA,468,127638.2
Emergency Medicine,TN,341,44597.43
Hospitalist,IL,117,17449.83
Nurse Practitioner,FL,243,72156.1
Family Practice,LA,70,24208.79
Neurology,CA,227,101961.3
Emergency Medicine,TX,399,59871.46
Neurology,NC,163,30000.9
Physician Assistant,PA,31,2673.83
Emergency Medicine,PA,108,14372.14
Anesthesiology,FL,22,2366.88
Physician Assistant,IL,71,7222.3
Optometry,TX,169,28299.54
Emergency Medicine,NY,368,43025.93
Nurse Practitioner,IA,24,3340.74
Emergency Medicine,CO,11,444.17
Nephrology,TX,427,153759.05
Cardiology,VA,1315,122469.17
Psychiatry,UT,43,16941.46
Nurse Practitioner,CO,141,18264.05
Pulmonary Disease,MI,268,60914.09
Dermatology,TX,481,281163.28
Nurse Practitioner,NC,141,
Nurse Practitioner,TX,232,43467.37
Rheumatology,IL,519,85045.28
Physical Therapist in Private Practice,WA,194,116959.18
Gastroenterology,NY,209,34873.48
Family Practice,NY,18,
Nurse Practitioner,NH,171,11733.35
Internal Medicine,MD,363,130045.34
Nurse Practitioner,PA,98,6301.19
Internal Medicine,IL,117,26059.44
General Surgery,TN,174,59700.47
"Psychologist, Clinical",IL,98,152228.74
Pathology,GA,68,21091.88
Chiropractic,IL,11,2648.09
Infectious Disease,LA,54,8518.51
Internal Medicine,NY,140,27645.28
Internal Medicine,FL,167,153765.37
Adult Congenital Heart Disease,MA,534,
Allergy/ Immunology,MI,11,1811.41
Urology,MD,211,50221.58
Internal Medicine,CT,90,15982.61
General Surgery,TX,14,1972.4
Chiropractic,WI,149,19841.66
Anesthesiology,NJ,413,38491.51
Certified Registered Nurse Anesthetist (CRNA),CA,164,18677.72
Nurse Practitioner,NJ,21,982.69
Nurse Practitioner,CA,59,18054.05
Family Practice,NJ,488,145094.62
Internal Medicine,GA,384,93780.43
Physician Assistant,AZ,336,33994.56
Dermatology,MN,491,190187.05
Emergency Medicine,FL,327,46559.93
Physician Assistant,VI,199,11002.45
Optometry,TX,222,35824.09
General Surgery,AK,16,4658.62
Nurse Practitioner,WA,151,13564.6
Internal Medicine,CA,72,23203.76
Registered Dietitian or Nutrition Professional,TX,41,6169.61
Critical Care (Intensivists),IL,192,87547.33
Emergency Medicine,MA,483,63224.59
Cardiology,VA,11,4051.25
Physical Medicine and Rehabilitation,FL,76,10623.16
Family Practice,MN,92,16198.93
Orthopedic Surgery,MT,323,243238.13
Internal Medicine,GA,216,50255.96
Nurse Practitioner,TN,175,11354.81
Physical Medicine and Rehabilitation,NC,178,56812.22
Nurse Practitioner,CA,45,12539.66
Anesthesiology,TX,267,17913.64
Ophthalmology,FL,489,96011.23
Podiatry,NY,43,971.39
Nurse Practitioner,TX,19,
Nurse Practitioner,MO,42,3663.15
Internal Medicine,UT,391,44163.88
Physical Therapist in Private Practice,MI,61,7230.7
Nurse Practitioner,NY,246,
Physical Therapist in Private Practice,PA,133,94276.2
Interventional Radiology,CA,3650,90598.22
Nephrology,TX,501,
Optometry,IA,313,28476.23
Nurse Practitioner,VA,25,
Internal Medicine,NY,199,518976.56
Diagnostic Radiology,MI,1767,88087.3
Chiropractic,IA,163,45633.06
Diagnostic Radiology,OH,1246,48059.58
General Surgery,CA,72,9498.15
Hospitalist,NY,98,23855.61
Physician Assistant,AZ,82,35988.47
Nurse Practitioner,NC,121,9984.98
Gastroenterology,WA,306,67210.72
Physical Therapist in Private Practice,MI,29,9274.86
Family Practice,NH,231,28865.28
Certified Registered Nurse Anesthetist (CRNA),CO,65,
Pathology,VA,283,65815.94
"Psychologist, Clinical",NY,249,110562.23
Anesthesiology,SC,395,44314.35
Certified Registered Nurse Anesthetist (CRNA),TX,203,14112.52
Certified Registered Nurse Anesthetist (CRNA),AL,91,11617.46
Physical Therapist in Private Practice,NJ,73,67480.72
Orthopedic Surgery,WY,452,194345.4
Physician Assistant,NC,219,25899.27
Psychiatry,NY,106,50655.68
Nurse Practitioner,WA,278,78550.01
Hematology-Oncology,TN,206,31561.52
Certified Registered Nurse Anesthetist (CRNA),AL,88,6392.54
Diagnostic Radiology,TN,3511,116677.89
Pulmonary Disease,WA,172,28414.63
Internal Medicine,CA,217,100404.94
Nurse Practitioner,IN,287,59647.59
Podiatry,MI,301,
Chiropractic,NH,64,10636.4
Physician Assistant,TX,37,7627.08
Psychiatry,NJ,18,23953.78
Licensed Professional Counselor,DE,11,3200.64
Clinical Cardiac Electrophysiology,NJ,85,15807.84
Nurse Practitioner,NJ,50,
Radiation Oncology,FL,704,
Neurosurgery,TX,443,
Chiropractic,NC,64,12428.47
Physical Therapist in Private Practice,VA,160,66220.62
Nurse Practitioner,GA,136,29448.49
Physical Therapist in Private Practice,OH,53,15478.16
Nurse Practitioner,MA,173,10385.15
Certified Registered Nurse Anesthetist (CRNA),OH,35,2054.04
Neurology,CA,81,24529.79
Nurse Practitioner,TX,173,12548.74
Internal Medicine,NY,285,70551.29
Family Practice,AL,43,
"Psychologist, Clinical",FL,29,59011.68
Anesthesiology,CA,56,13520.16
Anesthesiology,NY,25,3305.39
Certified Registered Nurse Anesthetist (CRNA),SC,127,11774.46
Physician Assistant,MA,11,1018.82
Nurse Practitioner,TN,227,19954.16
Podiatry,KS,225,91202.05
Diagnostic Radiology,NJ,3887,648064.81
Optometry,CA,82,10365.99
Orthopedic Surgery,WI,51,
Family Practice,OH,36,
Internal Medicine,MI,14,1911.87
Physical Therapist in Private Practice,WV,42,9191.54
Nurse Practitioner,AR,16,
Nephrology,GA,304,
Emergency Medicine,OH,342,48957.04
Nurse Practitioner,NJ,32,
Nurse Practitioner,FL,39,2951.35
Optometry,IN,199,19266.43
Ophthalmology,FL,358,57970.35
Nurse Practitioner,CA,40,4018.36
Clinical Cardiac Electrophysiology,TX,218,101075.75
Chiropractic,IA,229,31172.68
Allergy/ Immunology,MI,299,60560.8
Anesthesiology,NC,19,1471
Physician Assistant,NJ,73,
Orthopedic Surgery,MI,137,
Family Practice,AK,26,8569.15
Orthopedic Surgery,VA,497,166768.07
Physician Assistant,IL,15,4852.17
Certified Registered Nurse Anesthetist (CRNA),AZ,56,6660.73
Physical Therapist in Private Practice,NV,126,49653.76
Cardiology,KY,1303,126487.3
Family Practice,WI,125,36123.67
Audiologist,MD,114,4348.74
Nurse Practitioner,IN,112,10020.06
Anesthesiology,MD,88,11818.98
Dermatology,OR,55,
Hospitalist,MS,376,85818.09
Family Practice,KY,97,14659.56
Physician Assistant,WI,136,15467.95
Physical Therapist in Private Practice,HI,25,6194.58
Nurse Practitioner,MA,38,7766.88
Emergency Medicine,SC,412,46960.9
Physical Therapist in Private Practice,MI,42,33600.15
Family Practice,IN,280,73341.76
Physician Assistant,AZ,155,
Occupational Therapist in Private Practice,FL,18,31108.43
Nurse Practitioner,MI,16,3843.29
Advanced Heart Failure and Transplant Cardiology,FL,1925,94329.15
Family Practice,CO,239,61764.69
Otolaryngology,AZ,240,119588.91
Ophthalmology,NY,376,83714.2
Chiropractic,VA,43,21935.97
Cardiac Surgery,AR,190,202416.58
Family Practice,MI,60,5358.65
Ophthalmology,CA,1170,513914.89
Optometry,FL,82,12130.54
Nurse Practitioner,DE,25,5139.03
Physical Therapist in Private Practice,CO,48,58645.39
Cardiology,MA,1555,
Infectious Disease,IN,502,185551.79
Physician Assistant,WA,44,356.39
Nurse Practitioner,NE,132,23587.93
Internal Medicine,CT,69,13662.51
Family Practice,MS,266,66989.6
Family Practice,CA,346,274446.58
Physician Assistant,OR,30,3928.84
Optometry,FL,18,2062.62
Emergency Medicine,NJ,252,35551.35
Internal Medicine,MI,186,
Nurse Practitioner,KS,1249,96992.97
Physical Medicine and Rehabilitation,GA,275,99894.34
Physician Assistant,TX,184,
Optometry,TX,32,7896.21
Hospitalist,NY,330,75320.29
Diagnostic Radiology,TX,542,25924.61
Physical Therapist in Private Practice,CA,198,69154.51
Nurse Practitioner,NY,224,
Emergency Medicine,FL,359,48955.5
Optometry,CA,33,3588.51
Anesthesiology,IA,182,29569.82
Pathology,CA,18,825.01
Certified Registered Nurse Anesthetist (CRNA),NY,37,4533.19
Obstetrics & Gynecology,TX,265,
Nurse Practitioner,DE,392,
Critical Care (Intensivists),MO,117,56054.11
Anesthesiology,NY,209,25142.19
Nurse Practitioner,NJ,92,
General Surgery,VA,16,4297.42
Physical Therapist in Private Practice,FL,82,18213.08
Ophthalmology,DC,803,146528.97
Family Practice,SC,310,55915.96
Nurse Practitioner,WI,83,8946.01
Physical Medicine and Rehabilitation,OH,567,377054.33
Family Practice,MI,68,18597.3
Podiatry,NY,746,109432.28
Optometry,MD,312,49822.64
Pulmonary Disease,PA,35,8187.18
Optometry,TX,195,18224.34
Certified Registered Nurse Anesthetist (CRNA),MS,126,14154.58
Physician Assistant,CT,16,1882.2
Physical Therapist in Private Practice,AK,23,38318
Family Practice,TX,198,40845.01
Otolaryngology,MD,270,169535.01
Emergency Medicine,CA,231,
Podiatry,IA,249,
Hand Surgery,NC,11,4391.08
Optometry,CA,14,729.75
Ophthalmology,FL,372,72305.71
Hospitalist,CO,69,20709.99
Interventional Cardiology,MD,1451,555660.8
Physician Assistant,FL,59,2447.6
Hospitalist,GA,283,57767.74
Obstetrics & Gynecology,MD,185,30024.05
Optometry,NC,339,34544.14
Diagnostic Radiology,TN,1059,63115.6
Thoracic Surgery,NY,51,42361.64
Physician Assistant,OH,66,82052.39
Physician Assistant,CA,168,90446.82
General Surgery,FL,148,66762.77
Physical Medicine and Rehabilitation,MA,308,65976.37
Pathology,OH,365,30929.19
Occupational Therapist in Private Practice,NC,57,26185.95
Emergency Medicine,CA,320,
Orthopedic Surgery,MI,201,60197.77
Physician Assistant,NY,111,
Physical Therapist in Private Practice,NY,67,12993.37
Internal Medicine,MI,188,86354.42
Hospitalist,AZ,245,57980.62
Interventional Pain Management,FL,357,216009.1
Cardiology,TX,819,226576.15
Certified Registered Nurse Anesthetist (CRNA),GA,15,1390.45
Physical Therapist in Private Practice,SC,98,127332.74
Medical Oncology,CT,209,56594.29
Audiologist,PA,343,14972.57
"Psychologist, Clinical",CO,67,16330.47
Emergency Medicine,OH,319,40129.56
Nurse Practitioner,AL,21,2894.68
Colorectal Surgery (Proctology),AZ,172,69333.66
Nephrology,PR,35,14851.05
Physical Therapist in Private Practice,MP,12,5670.07
Certified Registered Nurse Anesthetist (CRNA),OH,82,10388.75
Anesthesiology,OH,194,52746.58
Physical Therapist in Private Practice,NM,150,33639.68
Diagnostic Radiology,AL,3026,119440.2
Nurse Practitioner,GA,220,18847.41
Cardiology,KY,88,18410.62
Nurse Practitioner,MS,175,16431.7
Physician Assistant,MA,471,
"Psychologist, Clinical",WA,23,19644.25
Nurse Practitioner,MS,240,91062.74
Nurse Practitioner,AR,190,49299.66
Internal Medicine,CA,454,69140.71
Licensed Clinical Social Worker,MA,13,9449.06
Internal Medicine,MS,385,80282.66
Physician Assistant,FL,311,55931.64
Hematology-Oncology,OH,168,32424.81
Physical Therapist in Private Practice,NY,103,74873.71
Obstetrics & Gynecology,OH,106,5742.07
Internal Medicine,AZ,619,280711
General Surgery,FL,398,183295.25
Physician Assistant,NY,72,3499.44
Cardiac Surgery,FL,95,105213.31
Emergency Medicine,NY,180,21655.36
Psychiatry,NC,241,112215.9
Family Practice,MO,229,39736.28
Diagnostic Radiology,WI,1308,50054.38
Surgical Oncology,TX,118,36169.66
Nephrology,NV,655,248299.69
Diagnostic Radiology,CT,580,62757.09
Diagnostic Radiology,MA,39,2938.15
Diagnostic Radiology,NY,1239,48241.78
Ophthalmology,MI,13,
Physician Assistant,GA,347,40330.03
Nurse Practitioner,NH,396,41276.23
Internal Medicine,NJ,268,44054.61
Licensed Professional Counselor,TX,20,4030.96
Physical Therapist in Private Practice,AL,48,18473.35
Anesthesiology,KY,510,40354.02
Nurse Practitioner,AZ,129,11445.01
Licensed Clinical Social Worker,MA,12,14568.2
Nurse Practitioner,NY,478,42588.62
Otolaryngology,UT,237,
Licensed Clinical Social Worker,SC,17,4598.38
Internal Medicine,OR,46,13784.8
Nurse Practitioner,TX,12,875.76
Physician Assistant,NJ,52,5651.12
General Surgery,GA,162,39328.79
Physician Assistant,IA,63,13912.45
Orthopedic Surgery,IN,623,206897.4
Chiropractic,MS,39,4998.66
Certified Registered Nurse Anesthetist (CRNA),PA,109,9817.35
Pulmonary Disease,MO,483,66136.55
Gastroenterology,FL,217,46167.35
Nurse Practitioner,OH,200,22759.37
Anesthesiology,CA,228,26559.33
Anesthesiology Assistant,GA,48,7774.85
Physician Assistant,ME,99,9601.77
Internal Medicine,FL,419,76650.6
Hematology,TX,114,25460.23
Gastroenterology,TX,379,68197.9
Internal Medicine,FL,15,
Audiologist,FL,127,5601.97
Neurology,TN,105,20137.86
Physician Assistant,IA,942,123938.99
Physical Therapist in Private Practice,ID,17,39058.28
Hospitalist,IL,89,16543.35
Diagnostic Radiology,IA,3395,167552.28
Physician Assistant,NC,16,2913.66
Nurse Practitioner,CA,94,
Obstetrics & Gynecology,CA,54,11972.32
Emergency Medicine,TX,557,73575.77
Family Practice,CA,189,73682.49
Ophthalmology,HI,223,121440.19
Internal Medicine,CA,273,77568
Physical Medicine and Rehabilitation,CA,11,710.17
Physical Therapist in Private Practice,CO,68,32129.08
Obstetrics & Gynecology,IL,11,2851.54
Physical Therapist in Private Practice,AZ,65,22735.07
Neurosurgery,PA,214,
Family Practice,CA,80,17351.12
Physical Therapist in Private Practice,VA,106,54664.1
Nurse Practitioner,VA,234,
Nurse Practitioner,MS,30,8176.88
Emergency Medicine,VA,503,75477.28
Nurse Practitioner,FL,125,115242.8
Family Practice,PA,244,45697.06
Physical Therapist in Private Practice,IN,87,39601.18
Psychiatry,OH,69,12909.37
Internal Medicine,MI,254,29462.85
Internal Medicine,NJ,180,46131.58
Gastroenterology,KY,274,54812.54
Optometry,MO,347,37908.79
Internal Medicine,AZ,125,23940.5
Physical Therapist in Private Practice,MA,91,30929.25
Dermatology,MI,298,
Cardiology,TX,639,119845.15
Internal Medicine,CA,231,110428.6
Nurse Practitioner,TN,110,18237.12
Certified Registered Nurse Anesthetist (CRNA),FL,202,20974.78
Diagnostic Radiology,UT,473,36274.93
Internal Medicine,MI,132,26435.26
Chiropractic,OK,33,11520.34
Family Practice,OH,22,1260.1
Vascular Surgery,TN,484,
Family Practice,NC,91,16394.78
Nurse Practitioner,CT,18,
Physician Assistant,MI,212,29674.84
Cardiology,GA,383,19522.89
Physician Assistant,OH,531,
Family Practice,OH,55,26480.26
General Surgery,CA,540,248869.78
Nurse Practitioner,CA,28,573.25
Nurse Practitioner,PA,32,7469.36
Optometry,MO,412,39146.65
Internal Medicine,OR,147,33707.42
Ophthalmology,WI,326,82229.61
Pathology,TX,71,2946.24
Physician Assistant,WA,28,7177.7
Psychiatry,MN,51,12446.86
Urology,CA,13,2780.79
Anesthesiology,NY,819,120881.98
Physician Assistant,NY,70,3701.88
Licensed Clinical Social Worker,NJ,19,7198.35
Pathology,TX,505,49436.03
Pulmonary Disease,MA,359,98548.79
Family Practice,KS,140,22801.54
Physician Assistant,CA,12,592.44
General Surgery,WA,62,
Nurse Practitioner,CT,44,8515.16
Neurosurgery,CT,141,74400.7
Nurse Practitioner,NV,209,20036.58
Family Practice,IL,149,38536.73
Nurse Practitioner,AZ,377,29438.99
Hospitalist,GA,22,4696.6
Addiction Medicine,MA,16,4142.56
Diagnostic Radiology,MA,3037,105422.85
Plastic and Reconstructive Surgery,IL,177,126469.87
Hospitalist,MD,127,17637.47
Pathology,PA,708,49134.82
Psychiatry,CA,15,6297.26
General Surgery,CA,110,18834.66
Internal Medicine,TX,427,50975.86
Hematology,OH,38,8318.89
Emergency Medicine,MO,389,50201.53
Family Practice,TN,56,13558.72
Obstetrics & Gynecology,FL,16,1727.26
Physical Therapist in Private Practice,TX,119,73258.8
Family Practice,KS,11,1112.33
Optometry,MO,223,24487.27
Nurse Practitioner,WV,245,51318.61
Physician Assistant,MD,968,184533.18
Emergency Medicine,MD,183,28415.36
Dermatology,MA,783,
Physical Therapist in Private Practice,CO,23,4821.98
Physician Assistant,CA,41,12835.27
Pulmonary Disease,SD,81,24925.32
Physician Assistant,CA,88,11833.27
Endocrinology,NY,78,49928.65
Radiation Oncology,FL,235,91952.15
Nurse Practitioner,IL,401,58505.62
Psychiatry,PA,35,20234.96
Licensed Clinical Social Worker,FL,20,27541.59
Anesthesiology,NY,69,8818.37
Infectious Disease,TN,134,
Optometry,PA,287,70053.93
Internal Medicine,CA,232,61218.32
Certified Registered Nurse Anesthetist (CRNA),NY,197,25511.3
Physician Assistant,NY,11,673.6
Nurse Practitioner,WI,15,
Certified Registered Nurse Anesthetist (CRNA),ME,116,12849.27
Diagnostic Radiology,CT,1419,175732.72
Nurse Practitioner,KY,11,600.1
Nurse Practitioner,IA,87,8493.35
Pathology,NY,39,2559.75
Certified Registered Nurse Anesthetist (CRNA),NC,146,13092.2
Nurse Practitioner,TN,811,75873.44
Allergy/ Immunology,TX,49,
Physical Therapist in Private Practice,MA,36,59109.82
Optometry,CA,35,3821.55
Nurse Practitioner,TN,165,15646.11
Audiologist,NY,44,1404.64
Anesthesiology,CA,356,57235.91
Physician Assistant,MI,132,
Gastroenterology,FL,358,207926.52
Physician Assistant,CA,525,96768.16
Infectious Disease,CA,279,257968.62
Optometry,FL,174,13523.03
Interventional Cardiology,KY,676,145955.11
Psychiatry,NY,434,158518.23
Physical Therapist in Private Practice,CO,70,41229.77
Physical Therapist in Private Practice,CT,73,52958.68
Certified Registered Nurse Anesthetist (CRNA),PA,81,7294.71
Certified Registered Nurse Anesthetist (CRNA),VA,122,14147.09
Nurse Practitioner,MD,125,37228.31
Physician Assistant,NC,127,28302.35
Anesthesiology,VA,93,9531.73
Certified Registered Nurse Anesthetist (CRNA),FL,221,32248.75
General Surgery,FL,32,
Family Practice,MI,36,3307.4
Family Practice,CA,85,26078.22
Anesthesiology,TN,44,4038.76
Nurse Practitioner,TX,181,39970.12
Pathology,TX,351,24782.36
Internal Medicine,CT,41,9062.79
Nephrology,MO,560,193026.28
Nurse Practitioner,MD,19,2095.15
Internal Medicine,GA,67,10130.21
Nurse Practitioner,FL,18,8216.13
Certified Registered Nurse Anesthetist (CRNA),TN,133,10688.23
Physical Therapist in Private Practice,PA,28,21390.63
Nurse Practitioner,TX,454,59226.65
Physician Assistant,TX,54,5162.51
Hospitalist,CA,240,33241.1
Anesthesiology,IA,168,48454.3
Gastroenterology,IN,444,82547.28
General Surgery,NY,235,107987.25
Pathology,CO,2108,223681.46
General Surgery,GA,66,
Emergency Medicine,NY,356,54726.35
Family Practice,KY,90,9705.26
Emergency Medicine,CA,309,50000.43
Nurse Practitioner,FL,83,7653.32
Physician Assistant,IN,147,
General Surgery,PA,196,46054.6
Hospitalist,IL,50,7173.44
Nurse Practitioner,VA,44,9756.62
Otolaryngology,NY,150,56871.45
Orthopedic Surgery,TX,83,55662.62
Neurology,TX,56,8968.82
Anesthesiology,MN,236,25760.24
Optometry,MD,61,8300.84
Neurology,IL,241,23269.18
Family Practice,IL,58,5229.03
Nurse Practitioner,CA,225,24696.68
Physical Therapist in Private Practice,MA,49,114885.13
Nurse Practitioner,IN,126,
Nurse Practitioner,WA,21,309.99
Emergency Medicine,AL,264,33932.27
Physical Therapist in Private Practice,CA,65,14199.74
Nurse Practitioner,MS,241,32773.71
Anesthesiology,KY,124,16009.97
Certified Registered Nurse Anesthetist (CRNA),KY,16,1634.34
Nurse Practitioner,AR,103,23736.63
Nurse Practitioner,OK,212,10167.05
Optometry,OH,70,7486.75
Chiropractic,NV,49,16167.29
Nurse Practitioner,CO,37,29434.88
Family Practice,PA,282,63726.15
Internal Medicine,CT,142,30672.05
Physician Assistant,OR,167,
Certified Registered Nurse Anesthetist (CRNA),AL,66,7553.71
Nurse Practitioner,FL,222,20717.28
Family Practice,NC,168,47057.73
Pathology,TN,547,48758.75
Internal Medicine,FL,57,
Certified Registered Nurse Anesthetist (CRNA),KY,259,26078.18
Nurse Practitioner,AL,51,4981.67
